HomeTeam,AwayTeam,FTHome,FTAway,HTHome,HTAway,Week
Arsenal,Leicester City,4,3,2,2,1
Watford,Liverpool,3,3,2,1,1
Chelsea,Burnley,2,3,0,3,1
Crystal Palace,Huddersfield Town,0,3,1,2,1
Everton,Stoke City,1,0,1,0,1
Southampton,Swansea City,0,0,0,0,1
West Bromwich Albion,AFC Bournemouth,1,0,1,0,1
Brighton & Hove Albion,Manchester City,a,2,0,0,1
Newcastle United,,0,2,0,0,1
Manchester United,West Ham United,4,0,1,0,1
Swansea City,Manchester United,0,4,0,1,2
AFC Bournemouth,Watford,0,2,0,0,2
Burnley,West Bromwich Albion,0,1,0,0,2
Leicester Cy,Brighton & Hove Albion,2,0,1,0,2
Liverpool,Crystal Palace,1,0,0,0,2
Southampton,West Ham United,3,2,2,1,2
Stoke City,Arsenal,1,0,0,0,2
Huddersfield Town,Newcastle United,1,0,0,0,2
Tottenham Hotspur,Chelsea,1,2,0,1,2
Manchester City,Everton,1,1,0,1,2
AFC Bournemouth,Manchester City,1,2,1,1,3
Crystal Palace,Swansea City,0,2,0,1,3
Huddersfield Town,Southampton,0,0,0,0,3
Newcastle United,West Ham United,3,0,1,0,3
Watford,Brighton & Hove Albion,0,0,0,0,3
Manchester United,Leicester City,2,0,0,0,3
Chelsea,Everton,2,0,2,0,3
West Bromwich Albion,Stoke City,1,1,0,0,3
Liverpool,Arsenal,4,0,2,0,3
Tottenham Hotspur,Burnley,1,1,0,0,3
Manchester City,Liverpool,5,0,2,0,4
Arsenal,Arsenal,3,0,2,0,4
Brighton & Hove Albion,West Bromwich Albion,3,1,1,0,4
Everton,Tottenham Hotspur,0,3,0,2,4
Leicester City,Chelsea,1,2,0,1,4
Southampton,Watford,0,2,0,1,4
Stoke City,Manchester United,2,2,1,1,4
Burnley,Crystal Palace,1,0,1,0,4
Swansea City,Newcastle United,0,1,0,0,4
West Ham United,Huddersfield Town,2,0,w,0,4
AFC Bournemouth,Brighton & Hove Albion,2,1,0,0,5
Crystal Palace,Southampton,0,1,0,1,5
Huddersfield Town,Leicester City,1,1,0,0,5
Liverpool,Burnley,1,1,1,1,5
Newcastle United,Stoke City,2,1,1,0,5
Watford,Manchester City,0,6,0,3,5
West Bromwich Albion,West Ham United,0,0,0,0,5
Tottenham Hotspur,Swansea City,0,0,0,0,5
Chelsea,Arsenal,0,0,0,0,5
Manchester United,Everton,4,0,1,0,5
West Ham United,Tottenham Hotspur,2,3,0,2,6
Burnley,Huddersfield Town,0,0,0,0,6
Everton,AFC Bournemouth,2,1,0,0,6
Manchester City,Crystal Palace,5,0,1,0,6
Southampton,Manchester United,0,1,0,1,6
Stoke City,Chelsea,0,4,0,2,6
Swansea City,Watford,1,2,0,1,6
Leicester City,Liverpool,2,3,1,2,6
